abd_l,abd_r,add_l,add_r,bifemsh_l,bifemsh_r,gastroc_l,glut_max_l,glut_max_r,hamstrings_l,hamstrings_r,iliopsoas_l,iliopsoas_r,rect_fem_l,rect_fem_r,soleus_l,tib_ant_l,vasti_l,vasti_r
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0712,NaN,NaN,NaN,0.0707,NaN,0.0487,0.3245,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0791,NaN,NaN,NaN,0.066,NaN,0.0478,0.2751,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0995,NaN,NaN,NaN,0.0625,NaN,0.0482,0.23,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1362,NaN,NaN,NaN,0.0615,NaN,0.0504,0.1976,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1882,NaN,NaN,NaN,0.0649,NaN,0.0538,0.1836,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2494,NaN,NaN,NaN,0.0735,NaN,0.0584,0.1885,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3104,NaN,NaN,NaN,0.087,NaN,0.0646,0.2079,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3588,NaN,NaN,NaN,0.1038,NaN,0.0729,0.2379,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3839,NaN,NaN,NaN,0.1223,NaN,0.083,0.2789,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.383,NaN,NaN,NaN,0.1422,NaN,0.0935,0.3319,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3636,NaN,NaN,NaN,0.1656,NaN,0.1012,0.3915,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3376,NaN,NaN,NaN,0.1963,NaN,0.104,0.445,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3134,NaN,NaN,NaN,0.2371,NaN,0.1034,0.4797,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4359,NaN,NaN,NaN,0.3171,NaN,0.1863,0.5598,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3997,NaN,NaN,NaN,0.3798,NaN,0.1724,0.5781,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3696,NaN,NaN,NaN,0.4371,NaN,0.1599,0.5617,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3442,NaN,NaN,NaN,0.461,NaN,0.1545,0.5053,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3225,NaN,NaN,NaN,0.4366,NaN,0.1587,0.4164,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3038,NaN,NaN,NaN,0.3746,NaN,0.172,0.3197,NaN,NaN
